id,n_victimas,fecha,hora,tipo_de_calle,dirección normalizada,comuna,longitud,latitud,victima_1,acusado,dia_semana,rol,victima_2,sexo,edad
2020-0060,1,2020-12-03,20,avenida,"homero y peron, eva av.",9,-58.47750832,-34.65672199,peaton,moto,jueves,peaton,peaton,femenino,69
2020-0061,1,2020-12-03,14,autopista,"cantilo, int. y udaondo, guillermo av.",13,-58.44927253,-34.54048625,moto,cargas,jueves,conductor,moto,masculino,45
2020-0062,1,2020-12-04,17,calle,moreno 1845,3,-58.39246272,-34.61253541,bicicleta,pasajeros,viernes,ciclista,bicicleta,masculino,47
2020-0063,2,2020-12-05,7,calle,nueva york y alta gracia,11,-58.52783814,-34.61047001,peaton_moto,moto,sábado,peaton,peaton,masculino,38
2020-0063,2,2020-12-05,7,calle,nueva york y alta gracia,11,-58.52783814,-34.61047001,peaton_moto,moto,sábado,pasajero_acompañante,moto,masculino,21
2020-0065,1,2020-12-05,16,autopista,"paz, gral. av. y goyeneche, roberto parque av.",12,-58.49332664,-34.54836855,moto,auto,sábado,conductor,moto,masculino,24
2020-0066,1,2020-12-07,4,autopista,autopista perito moreno (altura estacion de tren villa luro),10,-58.50178784,-34.63593897,moto,objeto fijo,lunes,conductor,moto,masculino,27
2020-0067,1,2020-12-11,22,avenida,saenz av. y beazley,4,-58.41657793,-34.65476216,peaton,pasajeros,viernes,peaton,peaton,masculino,51
2020-0068,1,2020-12-12,20,avenida,del libertador av. y austria,2,-58.39731474,-34.58307887,moto,auto,sábado,conductor,moto,masculino,71
2020-0069,1,2020-12-15,5,avenida,"independencia av. y saenz peã‘a, luis, pres.",1,-58.38746381,-34.61790839,moto,pasajeros,martes,pasajero_acompañante,moto,masculino,25
2020-0070,1,2020-12-17,15,avenida,"callao av. y las heras, general",2,-58.39189441,-34.59176378,peaton,pasajeros,jueves,peaton,peaton,femenino,81
2020-0071,1,2020-12-17,23,avenida,san pedrito av. y directorio av.,7,-58.46749188,-34.63551751,peaton,auto,jueves,peaton,peaton,masculino,4
2020-0072,1,2020-12-19,3,avenida,"jujuy av. y calvo, carlos",3,-58.40280471,-34.62113271,bicicleta,auto,sábado,ciclista,bicicleta,masculino,42
2020-0073,1,2020-12-20,7,avenida,27 de febrero av. y escalada av.,8,-58.44451316,-34.68475866,moto,objeto fijo,domingo,conductor,moto,masculino,56
2020-0074,1,2020-12-20,21,avenida,bogota y nazca av.,7,-58.47110424,-34.62742408,auto,auto,domingo,conductor,auto,masculino,39
2020-0075,1,2020-12-23,14,avenida,corrientes av. y 9 de julio av.,1,-58.38220928,-34.60373898,peaton,pasajeros,miércoles,peaton,peaton,masculino,23
2020-0076,1,2020-12-24,12,avenida,alvarez jonte av. y chivilcoy,10,-58.49794468,-34.61565025,auto,pasajeros,jueves,conductor,auto,femenino,78
2020-0077,2,2020-12-25,6,avenida,san martin av. y punta arenas,15,-58.47220945,-34.60111373,moto,auto,viernes,conductor,moto,femenino,30
